"User ID","Movie ID","Date Watched","User Rating"
1,2,2023-04-05,3
1,12,2023-07-10,4
1,27,2023-08-16,5
2,7,2023-05-26,4
2,14,2023-07-02,2
2,18,2023-10-20,1
2,24,2023-07-14,5
2,36,2023-09-15,5
3,1,2023-07-21,5
3,2,2023-04-06,4
3,15,2023-10-27,5
3,16,2023-09-23,5
4,1,2023-07-21,3
4,2,2023-04-13,3
4,3,2023-08-01,3
5,1,2023-07-21,4
5,3,2023-07-21,4
5,6,2023-06-25,4
5,19,2023-10-13,5
5,28,2023-11-20,3
5,44,2023-03-15,2
6,3,2023-07-29,5
6,44,2023-03-09,3
7,9,2023-06-16,5
7,13,2023-11-23,3
7,19,2023-10-13,5
7,24,2023-07-07,3
7,44,2023-02-26,2
8,1,2023-07-23,3
8,24,2023-07-08,4
9,1,2023-07-25,5
9,3,2023-07-21,4
10,1,2023-07-21,5
10,3,2023-07-22,5
10,9,2023-06-20,5
10,12,2023-11-09,3
10,20,2023-07-11,5
10,27,2023-05-13,4
10,40,2023-10-04,3
10,45,2023-06-23,5
